
2017-08-10 23:44:09,138 proc_top starting

2017-08-10 23:44:19,139
   pid name                  utime  stime  pct
   834 (python)                 31      9   4%
   729 (wpa_supplicant)         17      7   2%
    18 (kworker/u2:1)            0      8   1%

2017-08-10 23:44:29,139
   pid name                  utime  stime  pct
   729 (wpa_supplicant)         11      2   1%

2017-08-10 23:44:39,139
   pid name                  utime  stime  pct
   729 (wpa_supplicant)         19      3   2%
    18 (kworker/u2:1)            0      6   1%

2017-08-10 23:44:49,139
   pid name                  utime  stime  pct
   729 (wpa_supplicant)         10      4   1%
    18 (kworker/u2:1)            0      5   1%

2017-08-10 23:44:59,139
   pid name                  utime  stime  pct
   729 (wpa_supplicant)         11      1   1%

2017-08-10 23:45:09,139
   pid name                  utime  stime  pct
    64 (kworker/0:2)             0     58   6%
   729 (wpa_supplicant)         11      2   1%
    71 (mmcqd/0)                 0      8   1%
    24 (ipu1_task)               0      5   1%

2017-08-10 23:45:19,139
   pid name                  utime  stime  pct
   923 (telem_down)             16     83  10%
   935 (python)                 85      5   9%
   938 (python)                 49     13   6%
    64 (kworker/0:2)             0     50   5%
   936 (python)                 42      4   5%
   931 (vidsrc:src)             15     15   3%
   921 (pixrc_udp)               0     29   3%
   919 (python)                 21      6   3%
   908 (dataflash_logge)         4      9   1%
    24 (ipu1_task)               0      9   1%
   924 (telem_up)                0      5   1%
   937 (python)                  5      0   1%

2017-08-10 23:45:29,139
   pid name                  utime  stime  pct
   923 (telem_down)              4     94  10%
   935 (python)                 84      6   9%
   938 (python)                 55      5   6%
    64 (kworker/0:2)             0     49   5%
   936 (python)                 37      8   5%
   931 (vidsrc:src)             18     13   3%
   921 (pixrc_udp)               0     29   3%
   919 (python)                 22      6   3%
   908 (dataflash_logge)         3     10   1%
    24 (ipu1_task)               0      8   1%
   926 (pixrc_ser)               1      4   1%
   924 (telem_up)                2      3   1%
   937 (python)                  5      0   1%

2017-08-10 23:45:39,139
   pid name                  utime  stime  pct
   923 (telem_down)              9     90  10%
   935 (python)                 86      5   9%
   938 (python)                 51     11   6%
    64 (kworker/0:2)             0     49   5%
   936 (python)                 39      6   5%
   931 (vidsrc:src)             19     13   3%
   921 (pixrc_udp)               0     29   3%
   919 (python)                 22      5   3%
   908 (dataflash_logge)         3     10   1%
    24 (ipu1_task)               0      9   1%
   937 (python)                  4      2   1%
   924 (telem_up)                2      3   1%

2017-08-10 23:45:49,139
   pid name                  utime  stime  pct
   923 (telem_down)             18    182  20%
   935 (python)                143     13  16%
   938 (python)                 67     28  10%
    64 (kworker/0:2)             0     93   9%
   936 (python)                 41      9   5%
   931 (vidsrc:src)             18     18   4%
   921 (pixrc_udp)               0     34   3%
   919 (python)                 24      8   3%
   908 (dataflash_logge)         8     21   3%
    24 (ipu1_task)               0      9   1%
   924 (telem_up)                2      4   1%
   937 (python)                  6      0   1%
   926 (pixrc_ser)               0      5   1%

2017-08-10 23:45:59,139
   pid name                  utime  stime  pct
   923 (telem_down)             34    218  25%
   935 (python)                182      7  19%
    64 (kworker/0:2)             0    118  12%
   938 (python)                 79     36  12%
   936 (python)                 45      6   5%
   931 (vidsrc:src)             26     13   4%
   921 (pixrc_udp)               0     37   4%
   908 (dataflash_logge)        12     24   4%
   919 (python)                 25      8   3%
    24 (ipu1_task)               0     11   1%
   926 (pixrc_ser)               0      7   1%
   924 (telem_up)                2      4   1%
   937 (python)                  6      0   1%
   910 (vidlaunch)               1      4   1%

2017-08-10 23:46:09,139
   pid name                  utime  stime  pct
   923 (telem_down)             34    222  26%
   935 (python)                179      9  19%
    64 (kworker/0:2)             0    119  12%
   938 (python)                 94     21  12%
   936 (python)                 41     10   5%
   931 (vidsrc:src)             21     19   4%
   908 (dataflash_logge)        15     22   4%
   921 (pixrc_udp)               0     36   4%
   919 (python)                 27      6   3%
    24 (ipu1_task)               0     10   1%
   937 (python)                  6      1   1%
   910 (vidlaunch)               2      3   1%
   924 (telem_up)                0      5   1%

2017-08-10 23:46:19,139
   pid name                  utime  stime  pct
   923 (telem_down)             30    221  25%
   935 (python)                170     15  19%
    64 (kworker/0:2)             0    117  12%
   938 (python)                 85     28  11%
   936 (python)                 44      7   5%
   931 (vidsrc:src)             26     16   4%
   908 (dataflash_logge)        12     25   4%
   921 (pixrc_udp)               0     37   4%
   919 (python)                 28      5   3%
   910 (vidlaunch)               5      9   1%
    24 (ipu1_task)               0      9   1%
   924 (telem_up)                1      5   1%
   937 (python)                  6      0   1%
   926 (pixrc_ser)               0      5   1%

2017-08-10 23:46:29,139
   pid name                  utime  stime  pct
   923 (telem_down)             33    245  28%
   935 (python)                188     17  21%
