Aug 10 23:45:01 3dr_solo local6.info video: main: built Sep 22 2016 15:31:07
Aug 10 23:45:01 3dr_solo local6.info video: Operating in variable bitrate mode (800000-1800000)@24fps
Aug 10 23:45:01 3dr_solo local6.info video: Using variable streaming resolution
Aug 10 23:45:01 3dr_solo local6.info video: Initializing
Aug 10 23:45:01 3dr_solo local6.info video: Creating pipeline
Aug 10 23:45:02 3dr_solo local6.info video: Starting play
Aug 10 23:45:02 3dr_solo local6.info video: new size: 640x480
Aug 10 23:45:02 3dr_solo local6.info video: Restarting pipeline
Aug 10 23:45:02 3dr_solo local6.info video: Last timestamp: 0
Aug 10 23:46:10 3dr_solo local6.info video: New bitrate: 1700000bps
Aug 10 23:46:10 3dr_solo local6.info video: Last timestamp: 6169344
Aug 10 23:46:13 3dr_solo local6.info video: New bitrate: 1600000bps
Aug 10 23:46:13 3dr_solo local6.info video: Last timestamp: 6421522
Aug 10 23:46:17 3dr_solo local6.info video: New bitrate: 1800000bps
Aug 10 23:46:17 3dr_solo local6.info video: Last timestamp: 6692127
Aug 10 23:46:45 3dr_solo local6.info video: New bitrate: 1700000bps
Aug 10 23:46:45 3dr_solo local6.info video: Last timestamp: 9216128
Aug 10 23:46:48 3dr_solo local6.info video: New bitrate: 1800000bps
Aug 10 23:46:48 3dr_solo local6.info video: Last timestamp: 9486688
Aug 10 23:47:15 3dr_solo local6.info video: New bitrate: 1700000bps
Aug 10 23:47:15 3dr_solo local6.info video: Last timestamp: 11864483
Aug 10 23:47:18 3dr_solo local6.info video: New bitrate: 1800000bps
Aug 10 23:47:18 3dr_solo local6.info video: Last timestamp: 12135319
Aug 10 23:47:34 3dr_solo local6.info video: New bitrate: 1700000bps
Aug 10 23:47:34 3dr_solo local6.info video: Last timestamp: 13586900
Aug 10 23:47:35 3dr_solo local6.info video: New bitrate: 1600000bps
Aug 10 23:47:35 3dr_solo local6.info video: Last timestamp: 13603181
Aug 10 23:47:38 3dr_solo local6.info video: New bitrate: 1800000bps
Aug 10 23:47:38 3dr_solo local6.info video: Last timestamp: 13874526
